Rank	Frequency	UUID	Row Text
0	89	10ce-c060-90b9-b748	an animal is a kind of organism
1	86	b5b8-ce64-6568-4a6c	helping something has a positive impact on that something
2	83	bb63-bcc5-0cd8-72db	an animal is a kind of living thing
3	70	3961-d09c-4b9a-a6f7	water is a kind of liquid
4	60	26c3-eec4-e1d0-fac5	a plant is a kind of organism
5	52	4710-c993-7a19-bef2	heat means heat energy
6	45	4253-4b9e-1e5f-1742	a human is a kind of animal
7	42	87a0-dd02-dd6d-ee60	an organism is a living thing
8	42	0d3a-8739-9f42-5e1c	a tree is a kind of plant
9	42	a0b2-a45f-01e1-4bf4	boiling ; evaporation means change from a liquid into a gas by adding heat energy
10	41	b48d-28f4-b020-de9f	an adaptation ; an ability has a positive impact on an animal 's ; living thing 's survival ; health ; ability to reproduce
11	40	e9f8-f0c7-07ec-99de	to depend on ; to rely on ; to need means to require
12	36	19f5-4162-4c01-59aa	increase means more
13	35	57d4-79ba-a97d-0f9a	harming something has a negative impact on ; effect on that something
14	33	2e89-d8e8-a8fb-9acc	a plant is a kind of living thing
15	33	0962-4a47-4e17-ce97	photosynthesis means producers ; green plants convert from carbon dioxide, water, and solar energy into carbohydrates ; food ; oxygen for themselves
16	32	e26b-b21d-d4a3-25fc	a bird is a kind of animal
17	31	d753-423d-5ce7-53ce	temperature is a measure of heat energy
18	31	95c4-ec5e-bce9-afd8	metal is a kind of material
19	31	ed09-025e-89b8-d48f	negative impact is the opposite of positive impact
20	29	a9fc-ec58-9496-d635	photosynthesis is a source of ; makes food ; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates
21	29	db0b-31a1-91ab-6996	a type is synonymous with a kind
22	29	b877-a58b-f75a-3998	a source of something emits ; produces ; generates that something
23	29	1e4c-46e8-996c-f2f7	if an object is made of a material then that object has the properties of that material
24	28	bfdf-b468-ee22-1b60	an increase is the opposite of a decrease
25	28	4a5a-9115-28a9-b97b	water is in the solid state , called ice , for temperatures between 0 ; -459 ; -273 and 273 ; 32 ; 0 K ; F ; C
26	28	1a70-2ddd-7f85-17ae	to reduce means to decrease
27	28	6abc-4443-f672-9a97	melting means changing from a solid into a liquid by adding heat energy
28	27	4eac-892f-ecd2-6e0d	a living thing is a kind of object
29	27	1992-cbd3-6534-a7f7	protecting a living thing has a positive impact on that living thing 's survival ; health
30	26	eb92-b0cd-c257-9bcf	a surface is a part of an object
31	26	5657-c6bc-e6cd-ae38	electricity means electrical energy
32	25	a0d5-68ec-fccc-fd82	instrument means tool
33	25	af26-8083-b908-7d3b	the Sun is a kind of star
34	25	7b3b-3c56-8e8b-ab1c	to lower means to decrease
35	25	7c96-f704-e51e-1678	form means kind
36	25	e473-7297-61c1-56fa	Earth is a kind of planet
37	24	4084-f2bc-52cf-0f74	temperature ; heat energy is a property of objects ; weather and includes ordered values of cold ; cool ; warm ; hot
38	23	9d3e-05a6-f555-db18	person is synonymous with human
39	23	1240-2639-9a5f-96cd	an environment means an area
40	23	ee78-0795-be47-6ad8	inheriting is when a inherited characteristic is copied ; is passed from parent to offspring by genetics ; DNA
41	23	360a-b24c-3306-9b73	protecting something means preventing harm to that something
42	22	e474-2a11-6e7b-ae8b	water is in the gas state , called water vapor , for temperatures between 373 ; 212 ; 100 and 100000000000 K ; F ; C
